S.No,Item,Interest Range,min_max,col_num,value,Weighted_Avg_Lending
I.,I. Type of Credit(1+2+3+4+5),Amount Outstanding,,2,91102.93,9.51%
1.,1. Cash Credit,Amount Outstanding,,2,30104.2,
1.,1. Cash Credit,Rate of Interest (Range),Min,3,0,
1.,1. Cash Credit,Rate of Interest (Range),Max,4,25.38,
1.,1. Cash Credit,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
1.,1. Cash Credit,Interest rate range in which 60 percent or more business is contracted,Max,6,0,
2.,2. Demand Loans,Amount Outstanding,,2,12504.92,
2.,2. Demand Loans,Rate of Interest (Range),Min,3,0,
2.,2. Demand Loans,Rate of Interest (Range),Max,4,23.5,
2.,2. Demand Loans,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
2.,2. Demand Loans,Interest rate range in which 60 percent or more business is contracted,Max,6,0,
3.,3. Overdrafts,Amount Outstanding,,2,930.76,
3.,3. Overdrafts,Rate of Interest (Range),Min,3,0,
3.,3. Overdrafts,Rate of Interest (Range),Max,4,17,
3.,3. Overdrafts,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
3.,3. Overdrafts,Interest rate range in which 60 percent or more business is contracted,Max,6,0,
4.,4. Inland Bills financed and discounted,Amount Outstanding,,2,560.19,
4.,4. Inland Bills financed and discounted,Rate of Interest (Range),Min,3,0,
4.,4. Inland Bills financed and discounted,Rate of Interest (Range),Max,4,9,
4.,4. Inland Bills financed and discounted,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
4.,4. Inland Bills financed and discounted,Interest rate range in which 60 percent or more business is contracted,Max,6,0,
5.,5. Term Loans (5.1+5.2+5.3+5.4+5.5),Amount Outstanding,,2,47002.86,
5.,5. Term Loans (5.1+5.2+5.3+5.4+5.5),Rate of Interest (Range),Min,3,0,
5.,5. Term Loans (5.1+5.2+5.3+5.4+5.5),Rate of Interest (Range),Max,4,0,
5.,5. Term Loans (5.1+5.2+5.3+5.4+5.5),Interest rate range in which 60 percent or more business is contracted,Min,5,0,
5.,5. Term Loans (5.1+5.2+5.3+5.4+5.5),Interest rate range in which 60 percent or more business is contracted,Max,6,0,
5.1,5.1 1 day to 180 days,Amount Outstanding,,2,16.72,
5.1,5.1 1 day to 180 days,Rate of Interest (Range),Min,3,5,
5.1,5.1 1 day to 180 days,Rate of Interest (Range),Max,4,18,
5.1,5.1 1 day to 180 days,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
5.1,5.1 1 day to 180 days,Interest rate range in which 60 percent or more business is contracted,Max,6,18,
5.2,5.2 181 days to 1 year,Amount Outstanding,,2,907.68,
5.2,5.2 181 days to 1 year,Rate of Interest (Range),Min,3,0,
5.2,5.2 181 days to 1 year,Rate of Interest (Range),Max,4,17.75,
5.2,5.2 181 days to 1 year,Interest rate range in which 60 percent or more business is contracted,Min,5,8.75,
5.2,5.2 181 days to 1 year,Interest rate range in which 60 percent or more business is contracted,Max,6,17.75,
5.3,5.3 Above 1 year and up to 3 years,Amount Outstanding,,2,981.04,
5.3,5.3 Above 1 year and up to 3 years,Rate of Interest (Range),Min,3,0,
5.3,5.3 Above 1 year and up to 3 years,Rate of Interest (Range),Max,4,19,
5.3,5.3 Above 1 year and up to 3 years,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
5.3,5.3 Above 1 year and up to 3 years,Interest rate range in which 60 percent or more business is contracted,Max,6,19,
5.4,5.4 Above 3 years and up to 5 years,Amount Outstanding,,2,6078.27,
5.4,5.4 Above 3 years and up to 5 years,Rate of Interest (Range),Min,3,0,
5.4,5.4 Above 3 years and up to 5 years,Rate of Interest (Range),Max,4,33.75,
5.4,5.4 Above 3 years and up to 5 years,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
5.4,5.4 Above 3 years and up to 5 years,Interest rate range in which 60 percent or more business is contracted,Max,6,33.75,
5.5,5.5 Above 5 years,Amount Outstanding,,2,39019.15,
5.5,5.5 Above 5 years,Rate of Interest (Range),Min,3,0,
5.5,5.5 Above 5 years,Rate of Interest (Range),Max,4,19,
5.5,5.5 Above 5 years,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
5.5,5.5 Above 5 years,Interest rate range in which 60 percent or more business is contracted,Max,6,19,
6.,6. Gross Bank Credit,Amount Outstanding,,2,90670.87,
,II Purpose of Credit,Amount Outstanding,,2,,
,7. Agriculture,Amount Outstanding,,2,15055.62,
,7. Agriculture,Rate of Interest (Range),Min,3,0,
,7. Agriculture,Rate of Interest (Range),Max,4,24.75,
,7. Agriculture,Interest rate range in which 60 percent or more business is contracted,Min,5,0,
,7. Agriculture,Interest rate range in which 60 percent or more business is contracted,Max,6,24.75,
,8. Industry (Large),Amount Outstanding,,2,31475.46,
,8. Industry (Large),Rate of Interest (Range),Min,3,0,
,8. Industry (Large),Rate of Interest (Range),Max,4,23.65,
,8. Industry (Large),Interest rate range in which 60 percent or more business is contracted,Min,5,0,
,8. Industry (Large),Interest rate range in which 60 percent or more business is contracted,Max,6,23.65,
